Year-Month,Type,Keyword,Frequency
2023-05,Beige Book,inflation,362
2023-05,Beige Book,rate,1810
2023-05,Beige Book,interest,1006
2023-03,Beige Book,inflation,411
2023-03,Beige Book,interest,1360
2023-03,Beige Book,rate,2656
2022-09,Beige Book,interest,996
2022-09,Beige Book,rate,2447
2022-09,Beige Book,inflation,680
2023-01,Beige Book,inflation,736
2023-01,Beige Book,interest,957
2023-01,Beige Book,rate,2138
2023-04,Beige Book,inflation,256
2023-04,Beige Book,rate,1840
2023-04,Beige Book,interest,733
2022-04,Beige Book,interest,711
2022-04,Beige Book,inflation,488
2022-04,Beige Book,rate,1860
2021-12,Beige Book,rate,1375
2021-12,Beige Book,inflation,168
2021-12,Beige Book,interest,401
2022-06,Beige Book,interest,998
2022-06,Beige Book,rate,2291
2022-06,Beige Book,inflation,840
2022-11,Beige Book,interest,1139
2022-11,Beige Book,rate,2376
2022-11,Beige Book,inflation,687
2021-10,Beige Book,rate,851
2021-10,Beige Book,inflation,61
2021-10,Beige Book,interest,132
2021-09,Beige Book,inflation,93
2021-09,Beige Book,rate,835
2021-09,Beige Book,interest,128
2022-10,Beige Book,interest,1063
2022-10,Beige Book,rate,2563
2022-10,Beige Book,inflation,786
2022-01,Beige Book,rate,1035
2022-01,Beige Book,inflation,187
2022-01,Beige Book,interest,244
2022-03,Beige Book,inflation,375
2022-03,Beige Book,rate,928
2022-03,Beige Book,interest,147
2022-07,Beige Book,interest,1128
2022-07,Beige Book,rate,2480
2022-07,Beige Book,inflation,613
