Year,Type,Keyword,Frequency
2023,Speeches,business,11
2023,Speeches,market,11
2023,Speeches,interest,7
2023,Speeches,rate,60
2023,Speeches,public,8
2023,Speeches,raise,4
2023,Press Releases,public,4
2023,Press Releases,interest,10
2023,Press Releases,market,7
2023,Press Releases,lower,4
2023,Press Releases,rate,13
2023,Press Releases,business,8
2023,Beige Book,business,191
2023,Beige Book,market,177
2023,Beige Book,public,16
2023,Beige Book,lower,141
2023,Beige Book,rate,64
2023,Beige Book,interest,135
2023,Beige Book,raise,14
2022,Beige Book,business,415
2022,Beige Book,market,315
2022,Beige Book,public,21
2022,Beige Book,interest,205
2022,Beige Book,rate,111
2022,Beige Book,lower,183
2022,Beige Book,raise,29
